id,objeto,entidade_adj,adjudicataria,adj_nif,tipo_contrato,tipo_proc,preco,preco_efetivo,data_pub,data_contrato,cpv,distrito,ano,ajuste_direto,score_risco,nivel_risco,flags,fonte_ano,atualizado
319510,Aquisição de vestuário profissional,506803228 - ATEC - Associação de Formação Para a Indústria,"505766205 - HR Protecção, SA",,Aquisição de bens móveis,Ajuste Direto Regime Geral,198959.38,138940.33,2022-02-15,2022-02-15,18110000-3 - Vestuário profissional,Setúbal,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (198,959€)"", ""desvio preço 30%"", ""adjudicações repetidas (77x)""]",2022,2026-04-02T01:34:31.843347
321731,3001/22/0000032 - Aquisição de serviços postais,"504322915 - Instituto de Informática, I. P.","500077568 - CTT - Correios de Portugal, S.A.",,Aquisição de serviços,Ajuste Direto Regime Geral,146220.0,208380.77,2022-02-23,2022-02-16,64110000-0 - Serviços postais,Lisboa,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (146,220€)"", ""desvio preço 43%"", ""adjudicações repetidas (159x)""]",2022,2026-04-02T01:34:32.811553
321951,IMATINIB COMPRIMIDOS,"510103448 - Centro Hospitalar e Universitário de Coimbra, E. P. E.","501505334 - FARMOZ, LDA",,Aquisição de bens móveis,Ajuste Direto Regime Geral,270900.0,27810.0,2022-02-24,2022-02-09,33600000-6 - Produtos farmacêuticos,Coimbra,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (270,900€)"", ""desvio preço 90%"", ""adjudicações repetidas (42x)""]",2022,2026-04-02T01:34:32.871788
322742,AD004.GSI.2021 – Aquisição de Serviços de Telecomunicações,"507396081 - EMAC - Empresa Municipal de Ambiente de Cascais, E. M., S. A.","502544180 - Vodafone Portugal - Comunicações Pessoais, S.A.",,Aquisição de serviços,Ajuste Direto Regime Geral,390000.0,223574.26,2022-02-28,2022-02-24,64200000-8 - Serviços de telecomunicações,Lisboa,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (390,000€)"", ""desvio preço 43%"", ""adjudicações repetidas (159x)""]",2022,2026-04-02T01:34:33.080902
329291,"Aquisição de Serviços de Higiene e Limpeza, no âmbito do COVID-19, para os ACES Alto Ave; Alto Tâmega e Barroso; Aveiro/Norte; Barcelos/Esposende; Braga; Baixo/Tâmega; Douro Sul; Espinho/Gaia; Famalicão; Gaia; Gerês/Cabreira; Marão e Douro Norte; Porto Oriental; Póvoa de Varzim/Vila do Conde; Santo Tirso/Trofa e DICAD.","503135593 - Administração Regional de Saúde do Norte, I. P.","509418627 - Fine Facility Services, Lda.,",,Aquisição de serviços,Ajuste Direto Regime Geral,224000.0,129597.19,2022-03-28,2022-02-10,90910000-9 - Serviços de limpeza,Distrito não determinado,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (224,000€)"", ""desvio preço 42%"", ""adjudicações repetidas (39x)""]",2022,2026-04-02T01:34:34.381242
330922,"Aquisição de Serviços de Comunicações Eletrónicas de Cloud E-mail, incluindo e-mail, calendário, contactos e tarefas",500051070 - Município de Lisboa,502604751 - NOS - Comunicações S.A.,,Aquisição de serviços,Ajuste Direto Regime Geral,498660.0,122839.73,2022-04-01,2022-03-31,64200000-8 - Serviços de telecomunicações,Lisboa,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (498,660€)"", ""desvio preço 75%"", ""adjudicações repetidas (370x)""]",2022,2026-04-02T01:34:35.198199
331101,Hormona Libertadora Gonadotropina,"511228848 - Serviço de Saúde da Região Autónoma da Madeira, EPERAM (SESARAM, EPERAM)",502609800 - IPSEN PORTUGAL,,Aquisição de bens móveis,Ajuste Direto Regime Geral,161788.86,112008.82,2022-03-31,2022-02-08,33690000-3 - Medicamentos vários,Região Autónoma da Madeira,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (161,789€)"", ""desvio preço 31%"", ""adjudicações repetidas (60x)""]",2022,2026-04-02T01:34:35.276482
331355,Aquisição de Serviços de Segurança e Vigilância Humana para suprir necessidades no âmbito do contexto epidemiológico da doença respiratória aguda por novo coronavírus (nCOV-2019) na DICAD; ACeS Alto Ave; ACeS Ave Famalicão; ACeS Douro Sul; ACeS Braga; ACeS Gaia; ACeS Porto Oriental; ACeS Porto Ocidental; ACeS Póvoa de Varzim/Vila do Conde.,"503135593 - Administração Regional de Saúde do Norte, I. P.","501326456 - Prestibel - Empresa de Segurança, S.A.",,Aquisição de serviços,Ajuste Direto Regime Geral,452003.3,193071.44,2022-04-04,2022-01-27,79714000-2 - Serviços de vigilância,Distrito não determinado,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (452,003€)"", ""desvio preço 57%"", ""adjudicações repetidas (45x)""]",2022,2026-04-02T01:34:35.351716
331714,INIBIDORES DE TIROSINACINASES - EVEROLÍMUS,"511228848 - Serviço de Saúde da Região Autónoma da Madeira, EPERAM (SESARAM, EPERAM)","500063524 - NOVARTIS FARMA-PRODUT.FARMACEUTICOS, SA",,Aquisição de bens móveis,Ajuste Direto Regime Geral,117725.87,78251.67,2022-04-04,2022-02-21,33690000-3 - Medicamentos vários,Região Autónoma da Madeira,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (117,726€)"", ""desvio preço 34%"", ""adjudicações repetidas (188x)""]",2022,2026-04-02T01:34:35.460997
331725,INIBIDORES DE TIROSINACINASES - SUNITINIB,"511228848 - Serviço de Saúde da Região Autónoma da Madeira, EPERAM (SESARAM, EPERAM)","500162166 - Laboratórios Pfizer, Lda",,Aquisição de bens móveis,Ajuste Direto Regime Geral,87794.47,51144.82,2022-04-04,2022-02-15,33690000-3 - Medicamentos vários,Região Autónoma da Madeira,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (87,794€)"", ""desvio preço 42%"", ""adjudicações repetidas (245x)""]",2022,2026-04-02T01:34:35.463873
